Title,Release Year,Date Added,Collection Status,Rating,Genres
Bully,2006,4 Jun 2024,In collection,4.5,Action-Adventure/Open World
Cities: Skylines,2015,23 Feb 2023,In collection,3.5,Simulation/City Building
Counter-Strike: Global Offensive,2012,23 Feb 2023,In collection,3.5,First-Person Shooter/Tactical
Crash Bandicoot,1996,22 Aug 2023,In collection,3.0,Platformer/Action
Cyberpunk 2077,2020,8 Oct 2024,In collection,3.5,RPG/Action/Open World
Disco Elysium,2019,4 Nov 2024,In collection,5.0,RPG/Detective/Adventure
Elden Ring,2022,18 Jan,In collection,2,Action RPG/Open World
Fallout: New Vegas,2010,18 Jan,In collection,4.5,RPG/Open World/Post-Apocalyptic
Final Fantasy VII,1997,22 Aug 2023,In collection,3.5,JRPG/Turn-based
Forza Horizon 3,2016,23 Feb 2023,In collection,3.0,Racing/Open World
Ghost of Tsushima,2020,29 Oct 2024,In collection,4.0,Action-Adventure/Open World
Grand Theft Auto V,2013,23 Feb 2023,In collection,4.5,Action-Adventure/Open World
Hollow Knight,2017,,,,Metroidvania/Action-Adventure
Life is Strange,2015,6 Nov 2023,In collection,4.0,Adventure/Narrative
Marvel's Spider-Man 2,2023,7 Jun,In collection,4.5,Action-Adventure/Open World
Minecraft,2011,23 Feb 2023,In collection,5.0,Sandbox/Survival
Plague Inc.,2012,23 Feb 2023,In collection,3.5,Strategy/Simulation
Red Dead Redemption 2,2018,23 Feb 2023,In collection,4.5,Action-Adventure/Open World
Resident Evil 4,2005,18 Jan,In collection,,Survival Horror/Action
SUPERHOT VR,2016,23 Feb 2023,In collection,3.0,First-Person Shooter/VR/Puzzle
The Elder Scrolls V: Skyrim,2011,23 Feb 2023,In collection,4.5,RPG/Open World/Action
The Legend of Zelda: A Link Between Worlds,2013,23 Feb 2023,In collection,3.5,Action-Adventure/Puzzle
The Legend of Zelda: Breath of the Wild,2017,23 Feb 2023,In collection,3.5,Action-Adventure/Open World
The Sims 4,2014,23 Feb 2023,In collection,3.5,Simulation/Life Sim
Tomodachi Life,2013,23 Feb 2023,In collection,3.5,Simulation/Life Sim
Tony Hawk's Pro Skater 3,2001,22 Aug 2023,In collection,4.0,Sports/Skateboarding
Undertale,2015,18 Jan,In collection,4.0,RPG/Indie/Adventure